scenario,seed,method,n_masked,n_true_dry,false_wet_rate,median_pred_true_dry,mean_pred_true_dry,p95_pred_true_dry
10pct,deterministic,mean,1115,756,1.0,4.0289,4.0289,4.0289
10pct,deterministic,linear,1115,756,0.167989,0.0,0.3385,2.4
10pct,deterministic,knn,1115,756,0.996032,0.9,1.5672,5.71
10pct,deterministic,mice,1115,756,0.996032,0.902,1.7793,6.1975
10pct,42,WGAN-GP_raw,1115,756,1.0,1.121,1.3554,2.5938
10pct,42,Precip2Stage,1115,756,0.121693,0.0,0.6521,2.9741
10pct,42,DLPIF,1115,756,0.121693,0.0,0.3588,2.4329
10pct,123,SAITS,1115,756,0.199735,,,
10pct,42,SAITS,1115,756,0.256614,,,
10pct,7,SAITS,1115,756,0.354497,,,
20pct,deterministic,mean,2230,1460,1.0,4.0289,4.0289,4.0289
20pct,deterministic,linear,2230,1460,0.185616,0.0,0.4134,2.4
20pct,deterministic,knn,2230,1460,0.995205,0.9,1.4413,4.702
20pct,deterministic,mice,2230,1460,0.999315,0.934,1.8252,6.1163
20pct,42,WGAN-GP_raw,2230,1460,1.0,1.1016,1.3224,2.6784
20pct,42,Precip2Stage,2230,1460,0.110959,0.0,0.6007,2.8247
20pct,42,DLPIF,2230,1460,0.110959,0.0,0.3785,2.849
20pct,123,SAITS,2230,1460,0.241096,,,
20pct,42,SAITS,2230,1460,0.336301,,,
20pct,7,SAITS,2230,1460,0.467808,,,
block7d,deterministic,mean,2070,1414,1.0,4.0289,4.0289,4.0289
block7d,deterministic,linear,2070,1414,0.254597,0.0,0.4198,2.8262
block7d,deterministic,knn,2070,1414,0.993635,0.9,1.5323,5.12
block7d,deterministic,mice,2070,1414,0.996464,0.888,1.7392,6.2293
block7d,42,WGAN-GP_raw,2070,1414,1.0,1.0992,1.3323,2.6898
block7d,42,Precip2Stage,2070,1414,0.094767,0.0,0.5093,2.0171
block7d,42,DLPIF,2070,1414,0.094767,0.0,0.3028,2.4128
block7d,123,SAITS,2070,1414,0.253182,0.0003,0.1681,0.9674
block7d,42,SAITS,2070,1414,0.335926,0.0389,0.2163,1.097
block7d,7,SAITS,2070,1414,0.447666,0.0696,0.321,1.5763
block30d,deterministic,mean,2020,1393,1.0,4.0289,4.0289,4.0289
block30d,deterministic,linear,2020,1393,0.290022,0.0,0.7646,4.9445
block30d,deterministic,knn,2020,1393,0.989232,0.9,1.4127,4.808
block30d,deterministic,mice,2020,1393,0.994257,0.886,1.7565,6.3308
block30d,42,WGAN-GP_raw,2020,1393,1.0,1.1434,1.3848,2.8584
block30d,42,Precip2Stage,2020,1393,0.118449,0.0,0.7699,4.0498
block30d,42,DLPIF,2020,1393,0.119167,0.0,0.412,2.6758
block30d,123,SAITS,2020,1393,0.365398,0.0284,0.2521,1.2181
block30d,42,SAITS,2020,1393,0.397703,0.0619,0.2656,1.4012
block30d,7,SAITS,2020,1393,0.563532,0.1469,0.4391,1.9119
