method,scenario,TMIN_RMSE,TMIN_MAE,TMEAN_RMSE,TMEAN_MAE,TMAX_RMSE,TMAX_MAE,RH_MEAN_RMSE,RH_MEAN_MAE,P_MEAN_RMSE,P_MEAN_MAE,WIND_MEAN_RMSE,WIND_MEAN_MAE,PRECIP_RMSE,PRECIP_MAE,MEAN_RMSE,MEAN_MAE
knn,10pct,0.04266196433556867,0.031956159106758385,0.0308720556105186,0.01892380249189945,0.050075684506486716,0.03461036997006226,0.11068549795674068,0.08910078065158016,0.16117091187988197,0.13180966787844253,0.0859276799877572,0.06603319104089662,0.027890724206740772,0.015071504236921468,0.07275493121195638,0.05535792505379441
linear,10pct,0.0458222432744305,0.03367803610286122,0.03684614925743085,0.027094007829200857,0.04851715424654316,0.036934030414483704,0.09199520967193608,0.07443126994290503,0.20558813848633697,0.1718584126625344,0.08835419103450007,0.06698909489656085,0.020775012725485056,0.007721067187266692,0.07684258552809467,0.059815131290830395
mice,10pct,0.07180354384581615,0.04036708403532552,0.053194331829238585,0.028304489299360684,0.0643630918218129,0.03735658641456487,0.10484033262535147,0.08352104082905869,0.1580512481851796,0.13097354434698605,0.07920658229312286,0.06036586068604175,0.025626692906301544,0.01542090518448884,0.0795836890724033,0.056615644399403774
mean,10pct,0.15126270796697705,0.12742524831497262,0.17406700322496235,0.1473055168504775,0.18959123380988183,0.16157378743217063,0.16045490041799657,0.13223179863319137,0.16153531020613482,0.1348552801679793,0.08468671997558341,0.06765330164852712,0.028655200617205258,0.02438739286265816,0.1357504394598202,0.11363318941571096
linear,20pct,0.04479289252078656,0.03361257525664801,0.03719554455391718,0.027901490424597497,0.04880885146665038,0.03639910130950837,0.09041784328715112,0.07245010173968061,0.2076603837788565,0.17334839401150243,0.09345343165124774,0.07153807010775023,0.021220571885396042,0.008560184784290473,0.0776499313062865,0.06054427394771109
knn,20pct,0.052815161004417285,0.03689294831535644,0.044736779642152724,0.02590248232148922,0.06199315086528834,0.04189596724762891,0.11894132602564039,0.09440446346323954,0.16237814962176242,0.13164776937178463,0.0883697275760642,0.06758359213641021,0.025976912413890777,0.014434569865865048,0.0793158867356023,0.058965970388824854
mice,20pct,0.0941007099648334,0.05707981247252657,0.0752859248115715,0.044854716519880336,0.08789438364658221,0.05288377523709702,0.1143153811240746,0.09070873121600345,0.15786918425062854,0.12989647904571763,0.08464512549505138,0.06539557819858106,0.026860115148505444,0.016141938012980254,0.09156726063446385,0.06528014724325519
mean,20pct,0.1491022766062797,0.12638784921613175,0.17654115952820595,0.149073120333669,0.19601035229302838,0.16597228607070078,0.16033161390287962,0.1324237474219292,0.1580849560345727,0.13220994814680956,0.08509628986666569,0.06770667728273141,0.028723637705113967,0.024470219939880307,0.1362700408481066,0.11403483548740742
knn,block30d,0.051111093291951425,0.036073881580808036,0.04038732784053981,0.024464977569860026,0.05752200188262792,0.03915856304364248,0.1180910284474626,0.0942562668657989,0.16202387934225637,0.13209820456143434,0.08880001463769181,0.06909363958535673,0.02631893313773364,0.014240984076396032,0.07775061122575193,0.05848378818332808
mice,block30d,0.08497461850315233,0.05232029179978109,0.06779688003090684,0.040853287990321126,0.08309353913897925,0.05114098242606517,0.11172731340845703,0.08963151351153421,0.1577836523921295,0.1289827842284316,0.08604903022485254,0.0670151968660228,0.026952330584784207,0.015849809126760164,0.08833962346903738,0.06368483799270232
linear,block30d,0.07293572728107461,0.056602705172438345,0.06380471320292055,0.047637638610176294,0.08068722023482039,0.062325247045426434,0.13329571053999661,0.10756360437515543,0.19041166784640837,0.15460219072786255,0.09292691735291216,0.06858614465772402,0.02822007033222128,0.012069223342205258,0.09461171811290771,0.07276953627585547
mean,block30d,0.148608066983262,0.126743606750939,0.17021301797048696,0.14337483660102412,0.1960075459477423,0.16486293822526932,0.16285229493533762,0.1349029533511443,0.15612043256461278,0.1301639928034339,0.0845954178307546,0.06809602957447937,0.029978994094197135,0.025156235407650617,0.1354822529037705,0.11332865610199153
knn,block7d,0.04876395262607671,0.03480224982226566,0.03910421234068927,0.02359554227033671,0.05504041371659155,0.038211109902591925,0.11561824001219803,0.09315035188909612,0.16080276955145598,0.1301272204347851,0.08839973855055756,0.06794220479934433,0.026101710340912018,0.014133091587389107,0.07626157673406873,0.05742311010082985
linear,block7d,0.06065503284022183,0.045398848074855225,0.043643316274273196,0.03181868347808393,0.06672363626381655,0.050184002523439325,0.10712219213143051,0.08471461811964992,0.2102243922357254,0.17229681060864374,0.09409804336545861,0.07039849814839802,0.023298702378336367,0.008994487311741942,0.08653790221275177,0.06625799260925887
mice,block7d,0.08864832220304028,0.05333099276644499,0.06997653897550743,0.04140319303584505,0.08167355792440899,0.05015618065298487,0.11077923537174932,0.08851662416689084,0.15710549533091064,0.1286409169846973,0.08404526257718929,0.06491325481271425,0.025036536178679167,0.015164457288402546,0.08818070693735501,0.06316080281542569
mean,block7d,0.1481409488553549,0.12473281661784093,0.18460495217246842,0.15805731638359619,0.19263887081306535,0.16341269986056114,0.15989252733045337,0.13082764447172793,0.1605493777693549,0.13425556457136745,0.0843200303914604,0.06725091357393295,0.0286548675158113,0.024623097103833702,0.13697165354970978,0.11473715036898004
